TCP_ID,ESTC_ID
K030050.000,T20496
K030147.000,T20759
K030155.000,T20767
K030158.000,T20770
K030162.000,T20774
K030166.000,T20779
K030365.000,T21151
K030406.000,T21215
K030407.000,T21216
K030424.000,T21236
K030458.000,T21282
K030481.000,T21314
K030489.000,T21324
K030547.000,T21419
K030565.001,T21449
K030565.002,T21449
K030629.000,T21565
K030677.000,T21796
K030714.000,T21863
K030743.000,T21904
K030889.000,T22178
K030916.000,T22214
K030979.000,T22306
K030987.000,T22316
K030992.000,T22325
K030995.000,T22329
K031002.000,T22338
K031003.000,T22341
K031010.000,T22351
K031107.000,T22490
K031144.000,T22566
K031187.000,T22744
K031188.000,T22745
K031233.000,T22825
K031299.000,T22929
K031892.000,T25992
K032080.003,T26350
K032080.004,T26350
K032080.005,T26350
K032282.000,T26829
K032302.000,T26852
K032304.000,T26854
K032305.000,T26855
K032308.000,T26858
K032311.000,T26862
K032313.000,T26864
K032314.000,T26865
K032319.000,T26870
K032320.000,T26871
K032321.000,T26872
K032322.000,T26874
K032330.000,T26882
K032335.000,T26889
K032341.000,T26895
K032473.000,T27111
K032610.000,T27316
K032686.000,T27412
K032774.000,T27507
K032959.000,T27908
K033177.000,T28325
K033182.000,T28330
K033495.000,T28894
K033556.000,T29008
K033670.000,T29224
K033708.000,T29271
K033714.000,T29278
K033787.000,T29429
K033792.000,T29445
K033853.000,T29583
K033911.000,T29686
K033915.000,T29691
K034200.000,T30410
K034257.000,T30491
K034336.000,T30628
K034431.000,T30776
K034449.000,T30807
K034471.000,T30840
K034809.000,T31323
K034904.000,T31454
K035015.000,T31626
K035076.000,T31743
K035180.000,T31916
K035226.000,T31976
K035269.000,T32045
K035335.000,T32142
K035367.000,T32192
K035393.000,T32235
K035398.000,T32241
K035508.000,T32397
K035521.000,T32415
K035585.000,T32518
K035592.000,T32526
K035594.000,T32529
K035616.001,T32597
K035616.002,T32597
K035616.003,T32597
K035639.000,T32633
K035642.000,T32640
K035681.000,T32706
K035701.000,T32731
K035739.000,T32780
K035752.000,T32801
K035773.000,T32839
K035795.000,T32875
K035828.000,T32923
K035829.000,T32924
K035830.000,T32925
K035831.000,T32926
K035832.000,T32928
K035834.000,T32931
K035835.000,T32933
K035868.000,T32970
K035870.000,T32973
K035871.000,T32975
K035872.000,T32976
K035873.000,T32977
K035879.000,T32986
K035921.000,T33050
K036062.000,T33340
K036148.000,T33469
K036168.003,T33490
K036183.000,T33505
K036193.000,T33517
K036206.000,T33535
K036286.000,T33651
K036296.000,T33668
K036380.000,T33873
K036444.000,T34003
K036466.000,T34046
K036542.000,T34201
K036550.000,T34210
K036554.000,T34218
K036558.000,T34229
K036643.000,T34377
K036679.000,T34439
K036683.000,T34448
K036704.000,T34490
K036706.000,T34498
K036735.000,T34538
K036746.000,T34551
K036801.000,T34655
K036824.000,T34690
K036834.000,T34702
K036921.000,T34841
K036934.000,T34858
K036942.000,T34870
K036971.000,T34920
K037020.000,T34998
K037046.000,T35033
K037129.000,T35155
K037184.000,T35251
K037200.000,T35272
K037211.000,T35288
K037240.000,T35353
K037293.000,T35427
K037297.000,T35431
K037302.000,T35438
K037372.000,T35551
K037398.000,T35600
K037413.000,T35621
K037447.000,T35678
K037448.000,T35679
K037476.000,T35726
K037587.000,T35941
K037647.000,T36030
K037656.000,T36051
K037672.000,T36072
K037679.000,T36080
K037709.000,T36154
K037725.000,T36173
K037803.000,T36329
K037818.000,T36357
K037835.000,T36383
K037858.000,T36422
K037864.000,T36432
K037936.000,T36557
K038022.000,T36693
K038048.000,T36737
K038204.000,T36987
K038285.000,T37135
K038307.000,T37172
K038348.000,T37247
K038439.000,T37396
K038447.000,T37407
K038456.000,T37422
K038460.000,T37426
K038487.000,T37463
K038489.000,T37472
K038498.000,T37490
K038561.000,T37612
K038609.000,T37731
K038677.000,T37847
K038693.000,T37875
K038710.000,T37899
K038746.000,T37952
K038748.000,T37954
K038763.000,T37975
K039073.000,T38436
K039111.000,T38490
K039143.000,T38523
K039201.000,T38599
K039224.000,T38638
K039235.000,T38657
K039236.000,T38658
K039296.000,T38771
K039324.000,T38807
K039355.000,T38853
K039360.000,T38859
K039366.000,T38866
K039382.000,T38887
K039408.000,T38920
K039425.000,T38951
K039429.000,T38961
K039442.000,T38978
K039474.000,T39044
K039488.000,T39062
K039720.000,T39457
K039747.000,T39487
K039801.000,T39559
K039838.000,T39611
K039855.000,T39642
K039863.000,T39655
K039927.000,T39738
K039979.000,T39827
K040019.000,T39882
K040168.000,T40185
K040172.000,T40194
K040190.000,T40233
K040233.000,T40324
K040240.000,T40337
K040357.000,T40531
K040424.000,T40663
K040440.000,T40695
K040490.000,T40757
K040521.000,T40804
K040547.000,T40856
K040557.000,T40872
K040564.000,T40890
K040623.000,T40984
K040638.000,T41007
K040676.000,T41107
K040713.000,T41160
K040720.000,T41172
K040756.000,T41234
K040829.000,T41367
K040857.000,T41406
K040908.000,T41507
K040910.000,T41509
K040928.000,T41553
K040929.000,T41555
K041028.000,T41729
K041060.000,T41781
K041151.000,T41927
K041165.000,T41948
K041171.000,T41956
K041173.000,T41961
K041177.000,T41970
K041179.000,T41972
K041189.000,T41991
K041192.000,T41994
K041196.000,T42000
K041203.000,T42012
K041283.000,T42117
K041295.000,T42129
K041358.000,T42248
K041371.001,T42262
K041371.002,T42262
K041393.000,T42300
K041482.000,T42452
K041500.000,T42497
K041503.000,T42504
K041528.000,T42557
K041537.000,T42571
K041548.001,T42585
K041548.002,T42585
K041548.003,T42585
K041548.004,T42585
K041548.005,T42585
K041548.006,T42585
K041555.000,T42593
K041581.000,T42626
K041590.000,T42636
K041597.000,T42644
K041684.001,T42742
K041684.002,T42742
K041691.000,T42751
K041717.000,T42786
K041831.000,T43087
K041852.000,T43118
K042020.000,T43462
K042178.000,T43737
K042183.000,T43742
K042231.000,T43821
K042270.000,T43878
K042319.000,T43972
K042385.000,T44064
K042411.000,T44101
K042546.000,T44301
K042666.000,T44447
K042690.000,T44499
K042710.000,T44546
K042716.000,T44554
K042848.000,T44797
K042939.000,T44943
K042986.000,T45086
K043015.000,T45136
K043021.000,T45161
K043079.000,T45260
K043092.000,T45281
K043154.000,T45397
K043155.000,T45398
K043166.000,T45411
K043175.000,T45420
K043181.000,T45426
K043182.000,T45427
K043186.000,T45433
K043195.000,T45445
K043199.000,T45450
K043204.000,T45456
K043527.000,T46011
K043587.000,T46118
K043640.000,T46205
K043689.000,T46273
K043780.000,T46417
K043812.000,T46478
K043839.000,T46518
K043848.000,T46532
K043880.000,T46573
K043952.000,T46678
K043977.000,T46712
K043996.000,T46739
K043997.000,T46740
K044025.000,T46778
K044031.000,T46789
K044072.000,T46846
K044098.000,T46885
K044143.000,T46976
K044267.000,T47162
K044268.000,T47165
K044271.000,T47169
K044278.000,T47176
K044298.000,T47205
K044434.000,T47416
K044470.000,T47465
K044519.000,T47533
K044551.000,T47580
K044643.000,T47695
K044692.000,T47748
K044879.000,T47972
K044883.000,T47979
K044903.000,T48008
K044906.000,T48013
K044918.000,T48035
K045058.000,T48277
K045163.000,T48439
K045211.000,T48537
K045218.000,T48555
K045265.000,T48642
K045300.000,T48729
K045301.000,T48731
K045312.001,T48748
K045312.002,T48748
K045342.000,T48796
K045351.000,T48811
K045363.000,T48828
K045376.000,T48845
K045394.000,T48864
K045417.000,T48890
K045423.000,T48897
K045428.000,T48902
K045429.000,T48903
K045433.000,T48908
K045439.000,T48914
K045459.000,T48948
K045798.000,T49443
K045837.000,T49500
K045920.000,T49633
K045928.000,T49644
K045995.000,T49771
K046052.000,T49863
K046060.000,T49884
K046073.000,T49903
K046076.000,T49906
K046085.000,T49920
K046152.000,T50019
K046182.000,T50078
K046226.000,T50176
K046227.000,T50177
K046245.000,T50203
K046275.000,T50241
K046304.000,T50285
K046334.000,T50334
K046340.000,T50342
K046486.000,T50704
K046497.000,T50718
K046500.000,T50721
K046542.000,T50796
K046563.000,T50834
K046614.000,T50903
K046628.000,T50920
K046707.000,T51118
K046809.000,T51439
K046839.000,T51487
K046841.000,T51491
K046880.000,T51546
K046899.000,T51580
K047002.000,T51741
K047007.000,T51747
K047175.000,T52020
K047209.000,T52074
K047211.000,T52080
K047221.000,T52092
K047225.000,T52097
K047269.000,T52152
K047355.000,T52313
K047375.000,T52354
K047382.000,T52363
K047394.000,T52415
K047433.000,T52489
K047435.000,T52491
K047462.000,T52575
K047491.000,T52618
K047496.000,T52634
K047546.000,T52723
K047676.000,T52924
K047685.000,T52933
K047686.000,T52934
K047694.000,T52943
K047748.000,T53006
K047797.000,T53058
K048041.000,T53403
K048101.000,T53475
K048123.000,T53497
K048128.000,T53502
K048130.000,T53504
K048133.000,T53507
K048137.000,T53511
K048139.000,T53513
K048186.000,T53617
K048216.000,T53650
K048218.000,T53652
K048220.000,T53654
K048221.000,T53655
K048222.000,T53656
K048229.000,T53663
K048291.000,T53732
K048292.000,T53733
K048293.000,T53734
K048296.000,T53737
K048297.000,T53738
K048303.000,T53744
K048355.000,T53823
K048676.000,T54251
K048730.000,T54314
K048829.000,T54523
K048831.000,T54527
K048852.000,T54550
K049006.000,T54922
K049013.000,T54929
K049027.000,T54947
K049181.000,T55125
K049204.000,T55155
K049221.001,T55179
K049221.002,T55179
K049285.000,T55291
K049304.001,T55310
K049304.002,T55310
K049357.001,T55366
K049357.002,T55366
K049439.000,T55489
K049441.000,T55491
K049442.000,T55493
K049443.000,T55494
K049446.000,T55497
K049447.000,T55499
K049452.000,T55504
K049483.000,T55545
K049485.000,T55547
K049569.000,T55643
K049641.000,T55737
K049942.000,T56247
K049986.000,T56428
K050109.000,T56629
K050110.000,T56630
K050119.000,T56640
K050122.000,T56643
K050218.000,T56758
K050262.000,T56856
K050263.000,T56857
K050264.000,T56858
K050267.000,T56864
K050268.000,T56866
K050270.000,T56868
K050273.000,T56872
K050274.000,T56874
K050275.000,T56875
K050278.000,T56879
K050279.000,T56881
K050281.000,T56883
K050282.000,T56884
K050284.000,T56887
K050287.000,T56892
K050288.000,T56893
K050289.000,T56894
K050290.000,T56895
K050292.000,T56899
K050314.000,T56930
K050343.000,T56969
K050351.000,T56977
K050360.000,T56992
K050364.000,T56997
K050367.000,T57000
K050370.000,T57003
K050373.000,T57007
K050375.000,T57009
K050405.000,T57070
K050477.000,T57192
K050540.000,T57324
K050551.001,T57335
K050551.002,T57335
K050567.001,T57352
K050567.002,T57352
K050567.003,T57352
K050688.000,T57520
K050786.000,T57685
K051001.000,T57982
K051003.000,T57984
K051011.000,T57992
K051036.000,T58019
K051111.000,T58099
K051255.000,T58326
K051638.001,T58992
K051638.002,T58992
K051638.003,T58992
K051638.004,T58992
K051638.005,T58992
K051638.006,T58992
K051638.007,T58992
K051639.008,T58993
K051641.000,T58996
K051765.000,T59166
K051776.000,T59183
K051781.000,T59192
K051932.000,T59377
K052074.000,T59549
K052119.000,T59600
K052215.000,T59716
K052227.001,T59731
K052227.002,T59731
K052227.003,T59731
K052227.004,T59731
K052227.005,T59731
K052227.006,T59731
K052531.001,T60252
K052994.001,T60863
K052994.004,T60863
K053061.001,T60939
K053061.002,T60939
K053219.000,T61174
K053241.000,T61211
K053268.000,T61242
K053357.000,T61379
K053409.000,T61464
K053415.001,T61470
K053415.002,T61470
K053453.000,T61511
K053723.000,T61846
K053900.000,T62060
K053903.001,T62063
K053903.004,T62063
K053904.002,T62064
K053906.000,T62066
K053907.001,T62068
K053907.002,T62068
K054254.000,T62574
K054260.000,T62583
K054264.000,T62588
K054680.002,T63190
K054680.003,T63190
K054688.000,T63198
K054766.000,T63309
K054851.000,T63407
K055107.000,T63743
K055509.000,T64334
K055580.000,T64438
K055619.001,T64481
K055619.002,T64481
K056001.000,T65013
K056026.000,T65046
K056081.000,T65130
K056135.000,T65212
K056178.001,T65262
K056178.002,T65262
K056299.000,T65459
K056324.001,T65487
K056324.002,T65487
K056360.000,T65526
K056661.000,T65913
K056668.000,T65921
K056672.000,T65928
K056674.000,T65933
K056676.000,T65935
K056679.000,T65939
K056681.000,T65941
K056694.000,T65958
K056709.000,T65975
K056731.000,T65998
K056734.000,T66001
K056933.000,T66284
K056943.000,T66298
K056945.000,T66300
K057073.000,T66447
K057094.000,T66469
K057134.000,T66512
K057370.000,T66779
K057408.000,T66823
K057422.000,T66837
K057429.000,T66845
K057507.001,T66924
K057507.002,T66924
K057520.001,T66937
K057520.002,T66937
K057530.001,T66947
K057530.002,T66947
K057530.003,T66947
K057530.004,T66947
K057530.005,T66947
K057530.006,T66947
K057664.000,T67126
K057665.001,T67127
K057665.002,T67127
K057720.000,T67189
K057721.000,T67190
K057724.000,T67193
K057725.000,T67195
K057726.000,T67196
K057952.000,T67572
K058052.000,T67699
K058226.000,T67996
K058227.000,T67997
K058248.000,T68023
K058249.000,T68024
K058255.000,T68030
K058371.000,T68179
K058373.000,T68184
K058376.000,T68187
K058426.000,T68295
K058430.000,T68299
K058457.000,T68343
K058583.001,T68578
K058583.002,T68578
K058702.001,T68722
K058702.002,T68722
K058747.000,T68772
K058784.000,T68812
K058785.000,T68813
K058805.000,T68833
K058856.000,T68887
K058981.000,T69031
K058986.000,T69038
K059055.000,T69163
K059103.000,T69297
K059161.000,T69379
K059163.000,T69381
K059165.000,T69383
K059169.000,T69388
K059195.000,T69418
K059276.000,T69544
K059277.000,T69545
K059314.000,T69589
K059320.000,T69598
K059379.000,T69669
K059406.000,T69697
K059407.000,T69698
K059409.000,T69700
K059526.000,T69913
K059580.001,T70026
K059580.002,T70026
K059636.000,T70119
K059793.000,T70314
K059801.000,T70330
K059804.000,T70334
K059805.000,T70335
K059809.000,T70340
K059833.000,T70373
K059867.001,T70420
K059867.002,T70420
K059867.003,T70420
K059867.004,T70420
K059868.000,T70421
K059933.001,T70504
K059933.002,T70504
K059970.000,T70627
K060044.001,T70718
K060044.002,T70718
K060044.003,T70718
K060117.000,T70816
K060121.000,T70822
K060122.000,T70823
K060124.000,T70826
K060142.001,T70851
K060142.002,T70851
K060142.003,T70851
K060142.004,T70851
K060328.000,T71092
K060329.000,T71093
K060422.000,T71256
K060458.001,T71307
K060458.002,T71307
K060458.003,T71307
K060545.002,T71398
K060679.000,T71570
K060836.000,T71763
K060857.000,T71789
K060858.000,T71790
K060946.001,T71886
K060946.002,T71886
K060958.001,T71899
K060958.002,T71899
K060978.000,T71923
K060980.000,T71926
K060981.000,T71927
K060982.000,T71928
K060984.000,T71930
K060985.000,T71931
K060989.000,T71936
K060991.000,T71938
K060993.001,T71940
K060994.002,T71941
K061006.000,T71957
K061017.000,T71969
K061081.000,T72045
K061103.000,T72067
K061112.000,T72077
K061113.000,T72078
K061116.000,T72081
K061206.001,T72179
K061206.002,T72179
K061209.001,T72182
K061209.002,T72182
K061274.000,T72258
K061280.000,T72264
K061403.000,T72417
K061659.000,T72829
K061730.000,T73010
K061830.000,T73130
K062069.000,T73480
K062088.001,T73501
K062088.002,T73501
K062088.003,T73501
K062088.004,T73501
K062108.001,T73522
K062108.002,T73522
K062108.003,T73522
K062151.000,T73566
K062201.000,T73624
K062219.000,T73643
K062220.000,T73644
K062221.000,T73645
K062330.000,T73797
K062331.000,T73798
K062334.000,T73803
K062582.000,T74230
K062748.001,T74465
K062748.002,T74465
K062748.003,T74465
K062800.000,T74528
K062802.000,T74530
K062837.000,T74576
K062844.000,T74583
K062861.000,T74605
K062887.000,T74642
K062939.000,T74897
K062945.000,T74903
K062946.000,T74904
K063010.000,T75001
K063037.000,T75033
K063038.000,T75034
K063039.000,T75035
K063043.000,T75040
K063086.000,T75092
K063128.000,T75139
K063195.000,T75219
K063225.000,T75303
K063254.000,T75334
K063270.000,T75350
K063274.000,T75355
K063333.000,T75422
K063343.000,T75434
K063754.000,T76167
K063758.000,T76174
K063778.000,T76203
K063883.001,T76337
K064046.000,T76763
K064085.000,T76810
K064499.001,T77431
K064499.002,T77431
K064501.000,T77434
